y,wheel_1,wheel_2,wheel_3,ratios
117,-2.199620697767461,1.1996206977674608,1.0,-2.20:1.20:1.00
118,-2.128709118989923,1.128709118989923,1.0,-2.13:1.13:1.00
119,-2.0623053560650533,1.062305356065053,1.0,-2.06:1.06:1.00
120,-2.000044002581493,1.0,1.0000440025814934,-2.00:1.00:1.00
121,-2.0623989035038304,1.0,1.0623989035038301,-2.06:1.00:1.06
122,-2.128808696583298,1.0,1.128808696583298,-2.13:1.00:1.13
123,-2.199726857711076,1.0,1.199726857711076,-2.20:1.00:1.20
124,-2.2756764996884993,1.0,1.275676499688499,-2.28:1.00:1.28
125,-2.357264302929218,1.0,1.357264302929218,-2.36:1.00:1.36
126,-2.4451979287876524,1.0,1.4451979287876524,-2.45:1.00:1.45
127,-2.54030797548288,1.0,1.5403079754828803,-2.54:1.00:1.54
128,-2.643575922042663,1.0,1.643575922042663,-2.64:1.00:1.64
129,-2.756170056349153,1.0,1.7561700563491531,-2.76:1.00:1.76
130,-2.87949218182903,1.0,1.87949218182903,-2.88:1.00:1.88
131,-3.015239074025159,1.0,2.015239074025159,-3.02:1.00:2.02
132,-3.1654844233521597,1.0,2.1654844233521597,-3.17:1.00:2.17
133,-3.3327896998897697,1.0,2.3327896998897697,-3.33:1.00:2.33
134,-3.5203565941865285,1.0,2.5203565941865285,-3.52:1.00:2.52
135,-3.7322404371584685,1.0,2.7322404371584685,-3.73:1.00:2.73
136,-3.973655090220778,1.0,2.973655090220778,-3.97:1.00:2.97
137,-4.251418561617381,1.0,3.2514185616173816,-4.25:1.00:3.25
138,-4.574621444214976,1.0,3.574621444214976,-4.57:1.00:3.57
139,-4.955659979626066,1.0,3.9556599796260663,-4.96:1.00:3.96
140,-5.4118890056738795,1.0,4.411889005673879,-5.41:1.00:4.41
141,-5.96837695768331,1.0,4.96837695768331,-5.97:1.00:4.97
142,-6.66272730843356,1.0,5.66272730843356,-6.66:1.00:5.66
143,-7.554033100307653,1.0,6.554033100307652,-7.55:1.00:6.55
144,-8.740787095497502,1.0,7.7407870954975015,-8.74:1.00:7.74
145,-10.400287234778924,1.0,9.400287234778924,-10.40:1.00:9.40
146,-12.887161040299826,1.0,11.887161040299826,-12.89:1.00:11.89
147,-17.028986637591196,1.0,16.028986637591192,-17.03:1.00:16.03
148,-25.30909968096344,1.0,24.309099680963435,-25.31:1.00:24.31
149,-50.151410536012804,1.0,49.151410536012804,-50.15:1.00:49.15
150,0.0,0.0,0.0,0.00:0.00:0.00
151,-49.079221718291855,-1.0,50.079221718291855,-49.08:-1.00:50.08
152,-24.291079983199655,-1.0,25.291079983199655,-24.29:-1.00:25.29
153,-16.020998251628374,-1.0,17.020998251628374,-16.02:-1.00:17.02
154,-11.882683610769556,-1.0,12.882683610769554,-11.88:-1.00:12.88
155,-9.39743487387076,-1.0,10.397434873870761,-9.40:-1.00:10.40
156,-7.738817485158139,-1.0,8.738817485158139,-7.74:-1.00:8.74
157,-6.552595757853756,-1.0,7.552595757853756,-6.55:-1.00:7.55
158,-5.661635425353687,-1.0,6.661635425353687,-5.66:-1.00:6.66
159,-4.967521917382906,-1.0,5.967521917382905,-4.97:-1.00:5.97
160,-4.411203374527421,-1.0,5.41120337452742,-4.41:-1.00:5.41
161,-3.9550996889469,-1.0,4.9550996889469,-3.96:-1.00:4.96
162,-3.5741564820443172,-1.0,4.574156482044317,-3.57:-1.00:4.57
163,-3.251027784202126,-1.0,4.251027784202126,-3.25:-1.00:4.25
164,-2.973323172857486,-1.0,3.9733231728574854,-2.97:-1.00:3.97
165,-2.731956001763077,-1.0,3.731956001763077,-2.73:-1.00:3.73
166,-2.520111015947954,-1.0,3.5201110159479536,-2.52:-1.00:3.52
167,-2.3325763221225984,-1.0,3.3325763221225984,-2.33:-1.00:3.33
168,-2.1652980264698174,-1.0,3.1652980264698174,-2.17:-1.00:3.17
169,-2.015075507607772,-1.0,3.015075507607772,-2.02:-1.00:3.02
170,-1.8793481042024465,-1.0,2.879348104202446,-1.88:-1.00:2.88
171,-1.7560427467323452,-1.0,2.756042746732345,-1.76:-1.00:2.76
172,-1.6434631427220356,-1.0,2.6434631427220356,-1.64:-1.00:2.64
173,-1.5402078691331937,-1.0,2.5402078691331935,-1.54:-1.00:2.54
174,-1.4451089409106894,-1.0,2.445108940910689,-1.45:-1.00:2.45
175,-1.3571851225233844,-1.0,2.357185122523384,-1.36:-1.00:2.36
176,-1.2756060133389386,-1.0,2.2756060133389386,-1.28:-1.00:2.28
177,-1.1996641136875839,-1.0,2.1996641136875836,-1.20:-1.00:2.20
178,-1.1287528764903387,-1.0,2.1287528764903385,-1.13:-1.00:2.13
179,-1.0623492996921282,-1.0,2.062349299692128,-1.06:-1.00:2.06
180,-1.0000000000000004,-1.0,2.0000000000000004,-1.00:-1.00:2.00
